False Positive Rate (FPR),True Positive Rate (TPR),Threshold
0.0,0.0,inf
0.0,0.00045330915684496827,0.9413781
0.0,0.05031731640979148,0.71933067
5.055765088930908e-06,0.05031731640979148,0.7192691
5.055765088930908e-06,0.06210335448776065,0.6969298
1.5167295266792723e-05,0.06210335448776065,0.69514936
1.5167295266792723e-05,0.07162284678150499,0.6818435
2.0223060355723633e-05,0.07162284678150499,0.6814405
2.0223060355723633e-05,0.09519492293744333,0.6468067
2.527882544465454e-05,0.09519492293744333,0.64628446
2.527882544465454e-05,0.10380779691749774,0.6369774
3.539035562251636e-05,0.10380779691749774,0.6351587
3.539035562251636e-05,0.11242067089755213,0.6243042
4.5501885800378174e-05,0.11242067089755213,0.6237818
4.5501885800378174e-05,0.12239347234814144,0.6079023
5.055765088930908e-05,0.12239347234814144,0.60772675
5.055765088930908e-05,0.1228467815049864,0.6073654
5.561341597823999e-05,0.1228467815049864,0.606308
5.561341597823999e-05,0.15639165911151406,0.56726235
6.066918106717089e-05,0.15639165911151406,0.5671914
6.066918106717089e-05,0.157298277425204,0.5670086
6.57249461561018e-05,0.157298277425204,0.5668099
6.57249461561018e-05,0.16817769718948322,0.5564807
7.078071124503271e-05,0.16817769718948322,0.55602914
7.078071124503271e-05,0.1799637352674524,0.54115707
7.583647633396362e-05,0.1799637352674524,0.54015946
7.583647633396362e-05,0.18087035358114234,0.53778666
8.089224142289453e-05,0.18087035358114234,0.5364361
8.089224142289453e-05,0.1826835902085222,0.5328306
8.594800651182543e-05,0.1826835902085222,0.5325911
8.594800651182543e-05,0.1840435176790571,0.53061163
9.100377160075635e-05,0.1840435176790571,0.5300732
9.100377160075635e-05,0.18948322756119673,0.5239878
9.605953668968725e-05,0.18948322756119673,0.5236124
9.605953668968725e-05,0.1931097008159565,0.5201509
0.00010111530177861816,0.1931097008159565,0.51977104
0.00010111530177861816,0.20534904805077062,0.5086561
0.00010617106686754907,0.20534904805077062,0.5082598
